COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2023-05-29,18434710,15875256,47.355,40.781,15168758,38.966,,2021-02-22,11,1511837,3.884
Albania,ALB,EURO,REPORTING,2023-05-14,3080679,1348396,107,47.379,1277987,44.905,,2021-01-13,6,399190,14.027
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442,7840131,34.817,17.879,6481186,14.78,,2021-01-30,4,575651,1.313
American Samoa,ASM,WPRO,REPORTING,2023-03-29,114706,46206,207.812,83.711,42479,76.959,,2020-12-21,3,24160,43.77
Andorra,AND,EURO,REPORTING,2023-04-09,157038,57910,203.2,76.02,53496,70.226,,2021-01-20,4,43067,56.535
Angola,AGO,AFRO,REPORTING,2023-05-21,25552936,15745756,77.748,47.909,8821410,26.84,,2021-03-10,1,2026768,6.167
Anguilla,AIA,AMRO,REPORTING,2023-05-05,24604,10854,164.005,72.35,10380,69.191,,2021-02-05,2,3046,20.304
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-05-05,136512,64290,139.399,65.65,62384,63.703,,2021-03-01,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,,2020-12-29,7,30810184,68.17
Armenia,ARM,EURO,REPORTING,2023-05-14,2156999,1122040,72.8,37.865,996169,33.618,,2021-01-27,10,44890,1.515
Aruba,ABW,AMRO,REPORTING,2023-05-05,216905,90424,203.159,84.694,84253,78.914,,2021-02-17,2,35659,33.399
Australia,AUS,WPRO,REPORTING,2023-03-24,65492360,22231907,256.834,87.184,21648824,84.898,,2021-02-21,5,14368201,56.346
Austria,AUT,EURO,REPORTING,2023-05-14,20401515,6899733,229.2,77.625,6682197,75.072,,2020-12-30,10,5405548,60.729
Azerbaijan,AZE,EURO,REPORTING,2023-05-14,13822539,5434010,136.3,53.594,4886266,48.192,,2021-01-20,5,3502265,34.542
Bahamas,BHS,AMRO,REPORTING,2023-05-05,366359,174810,93.163,44.453,166972,42.46,,2021-03-14,4,33717,8.574
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633,1241174,204.319,72.943,1226796,72.098,,2020-11-04,11,1008663,59.278
Bangladesh,BGD,SEARO,REPORTING,2023-05-23,358694968,151327605,217.801,91.887,139912306,84.955,,2021-01-27,8,67455057,40.959
Barbados,BRB,AMRO,REPORTING,2023-05-05,381715,163845,132.828,57.014,155036,53.949,,2021-01-08,5,62834,21.865
Belarus,BLR,EURO,REPORTING,2023-04-16,21205264,6438808,224.4,68.14,6354262,67.246,,2021-02-03,5,5699425,60.316
Belgium,BEL,EURO,REPORTING,2023-05-14,29117995,9254335,252.7,80.316,9158096,79.481,,2020-12-30,4,7244556,62.873
Belize,BLZ,AMRO,REPORTING,2023-05-05,510696,258443,128.436,64.996,221402,55.681,,2021-03-01,5,50177,12.619
Benin,BEN,AFRO,REPORTING,2022-12-18,4232541,3697190,34.913,30.497,2742837,22.625,,2021-03-29,5,,
Bermuda,BMU,AMRO,REPORTING,2023-05-05,132042,48554,212.037,77.97,47657,76.529,,2021-01-11,3,31829,51.112
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426,699116,260.68,90.605,677669,87.826,,2021-03-27,5,634641,82.249
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-05-05,15966592,7488170,136.782,64.149,6291246,53.896,,2021-01-30,7,2474734,21.2
Bonaire,XAA,AMRO,REPORTING,2023-05-05,43070,17460,205.929,83.481,16189,77.404,,,,8125,38.848
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845,19109,137.934,73.533,16736,64.401,,,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,,,4,,
Botswana,BWA,AFRO,REPORTING,2023-05-07,3171667,1951054,134.871,82.966,1663490,70.738,,2021-03-26,6,507654,21.587
Brazil,BRA,AMRO,REPORTING,2023-05-05,509835734,187249676,239.856,88.093,170557580,80.24,,2021-01-17,5,109913632,51.71
British Virgin Islands,VGB,AMRO,REPORTING,2023-05-05,41453,19466,137.094,64.378,18261,60.393,,2021-02-11,3,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,2023-04-28,1291978,451032,295.323,103.098,446630,102.092,,2021-04-03,5,340379,77.805
Bulgaria,BGR,EURO,REPORTING,2023-05-14,4617676,2108296,66.4,30.329,2080070,29.923,,2020-12-30,4,832410,11.975
Burkina Faso,BFA,AFRO,REPORTING,2023-03-19,6674010,5152110,31.928,24.647,4129254,19.754,,2021-06-02,3,,
Burundi,BDI,AFRO,REPORTING,2023-05-14,39182,36909,0.33,0.31,36321,0.305,,2021-10-18,1,314,0.003
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940,356734,154.669,64.162,308720,55.526,,2021-03-18,4,749,0.135
Cambodia,KHM,WPRO,REPORTING,2023-05-19,46974401,15287370,280.965,91.437,14659514,87.682,,2021-02-10,7,10638591,63.632
Cameroon,CMR,AFRO,REPORTING,2023-05-07,4735141,3656503,17.838,13.774,3107836,11.707,,2021-04-12,4,765051,2.882
Canada,CAN,AMRO,REPORTING,2023-05-05,97303025,32645232,257.81,86.495,31311576,82.962,,2020-12-14,6,19770935,52.384
Cayman Islands,CYM,AMRO,REPORTING,2023-05-05,151822,62085,231.013,94.469,60664,92.307,,2021-01-15,1,24064,36.616
Central African Republic,CAF,AFRO,REPORTING,2023-05-21,2914105,2381935,60.336,49.318,2266531,46.928,,2021-03-19,2,226816,4.696
Chad,TCD,AFRO,REPORTING,2023-05-14,8547802,6254729,52.039,38.079,6127422,37.303,,2021-06-04,1,4042573,24.611
Chile,CHL,AMRO,REPORTING,2023-05-05,65788462,18102348,344.15,94.696,17712317,92.656,,2020-12-21,5,15754069,82.412
China,CHN,WPRO,REPORTING,2023-03-23,3515872818,1317994878,238.966,89.581,1284413713,87.299,,2020-07-22,8,833820382,56.673
Colombia,COL,AMRO,REPORTING,2023-05-05,90506612,43012174,177.872,84.532,37019801,72.755,,2021-02-17,5,14792792,29.072
Comoros,COM,AFRO,REPORTING,2022-10-02,835021,438825,96.023,50.463,397080,45.662,,2021-04-10,3,,
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,,2021-03-23,4,,
Cook Islands,COK,WPRO,REPORTING,2023-01-31,40080,15112,228.194,86.04,14728,83.853,,2021-05-17,1,10240,58.301
Costa Rica,CRI,AMRO,REPORTING,2023-05-05,13148135,4633174,258.104,90.951,4347590,85.345,,2020-12-24,3,2926735,57.453
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932,13568372,95.776,51.438,12164304,46.115,,2021-03-01,5,3138712,11.899
